origin_country,region,museum,n_objects,is_unknown_origin
Turkmenistan Or Iran,Unknown,MET,2,False
Turkmenistan Or Uzbekistan,Unknown,MET,1,False
Uganda,Unknown,MET,12,False
Uganda Or Democratic Republic Of Congo,Unknown,MET,1,False
Uganda Or Kenya,Unknown,MET,2,False
Uganda-Sudan,Unknown,MET,1,False
Uganda/Rwanda,Unknown,MET,1,False
Uganda/Tanzania,Unknown,MET,1,False
Uganda?,Unknown,MET,1,False
Uk,Unknown,MET,2,False
Ukraine,Unknown,MET,20,False
Ukrainian,Unknown,NGA,3,False
Unassigned,Unknown,CMA,19,False
Unassigned (European),Unknown,CMA,1,False
Unidentified,Unknown,CMA,1,False
United Arab Emirates,Unknown,CMA,1,False
United Kingdom,Europe,CMA,4426,False
United Kingdom,Europe,MET,1582,False
United Kingdom,Europe,NGA,7345,False
United Kingdom ?,Unknown,MET,1,False
United Kingdom Or France,Unknown,MET,1,False
United Kingdom Or France?,Unknown,MET,1,False
United Kingdom Or Germany,Unknown,MET,2,False
United Kingdom?,Unknown,MET,2,False
United States,North America,CMA,21939,False
United States,North America,MET,9723,False
United States,North America,NGA,76844,False
United States (?),Unknown,MET,1,False
United States Of America,Unknown,MET,15,False
United States Or Brazil,Unknown,MET,1,False
United States Or Canada,Unknown,MET,11,False
United States Or Canada: N.A.,Unknown,MET,2,False
United States Or Germany,Unknown,MET,1,False
United States Or Germany ?,Unknown,MET,1,False
United States Or Mexico,Unknown,MET,1,False
United States Or Mexico: N.A.,Unknown,MET,2,False
United States(?),Unknown,MET,1,False
United States?,Unknown,MET,11,False
Unitted States,Unknown,MET,1,False
Unknown British Photographer,Unknown,CMA,1,False
Unknown Country,Unknown,MET,5,False
Urartian,Unknown,CMA,1,False
Uruguay,Unknown,CMA,1,False
Uruguay,Unknown,MET,1,False
Uruguayan,Unknown,NGA,3,False
Uzbekistan,Unknown,CMA,18,False
Uzbekistan,Unknown,MET,141,False
Uzbekistan And Afghanistan,Unknown,MET,1,False
Uzbekistan Or Tajikistan,Unknown,MET,1,False
Uzbekistan Or Turkmenistan,Unknown,MET,1,False
Valley Of The Meuse,Unknown,CMA,1,False
Vanuatu,Unknown,MET,66,False
Veneto-Islamic,Unknown,NGA,1,False
Venezuela,Unknown,CMA,2,False
Venezuela,Unknown,MET,5,False
Venezuela:N.A.,Unknown,MET,1,False
Venezuelan,Unknown,NGA,38,False
Vietnam,Unknown,CMA,4,False
Vietnam,Unknown,MET,4,False
Vietnam (Annam),Unknown,CMA,5,False
Vietnam (Champa),Unknown,CMA,2,False
Visigothic,Unknown,CMA,3,False
Wallis And Futuna Territory,Unknown,MET,2,False
Wari (Pachacamac) Style,Unknown,CMA,2,False
Welsh,Unknown,NGA,84,False
West Asia,Unknown,CMA,1,False
West Greek/South Italian,Unknown,CMA,1,False
West India,Unknown,CMA,1,False
West Indies,Unknown,CMA,1,False
West Mexico,Unknown,CMA,6,False
West Turkey,Unknown,MET,1,False
West-Central Colombia,Unknown,CMA,1,False
Workshop Of The Cleveland Casket (Italy),Unknown,CMA,1,False
Yemen,Unknown,CMA,2,False
Yemen,Unknown,MET,18,False
Yugoslavia,Unknown,CMA,12,False
Yugoslavian,Unknown,NGA,14,False
Zambia,Unknown,MET,6,False
Zambia Or Zimbabwe,Unknown,MET,2,False
Zambia?,Unknown,MET,1,False
Zanzibar,Unknown,MET,1,False
Zimbabwe,Unknown,MET,7,False
Zimbabwe Or Mozambique,Unknown,MET,1,False
[],Unknown,CMA,364,False
Unknown origin,Unknown,CMA,127,True
Unknown origin,Unknown,MET,408954,True
Unknown origin,Unknown,NGA,795,True
