region,country,type_group,n_objects
North America,Canada,Bark-Ornaments,1
North America,Canada,Beads-Containers|Hide-Costumes,1
North America,Canada,Beads-Ornaments|Hide-Costumes,1
North America,Canada,Bound Volume,1
North America,Canada,Ceramic,1
North America,Canada,Chordophone-Lute-bowed-unfretted,1
North America,Canada,Feathers-Costumes,1
North America,Canada,Idiophone-Accessories,1
North America,Canada,Idiophone-Struck-vessel,1
North America,Canada,Ivories-Walrus,1
North America,Canada,Metal-Sculpture,1
North America,Canada,Mixed Media,1
North America,Canada,Painting,1
North America,Canada,Paintings,1
North America,Canada,Portfolio,1
North America,Canada,Sculpture,1
North America,Canada,Stone-Implements,1
North America,Canada,Stone-Ornaments,1
North America,Canada,Stone-Paintings,1
North America,Canada,Stone-Vessels-Inscribed,1
North America,Canada,Textiles-Costumes,1
North America,Canada,Textiles-Implements,1
North America,United States,Accessory-Headwear-Menswear|Feathers-Costumes,1
North America,United States,Accessory-Neckwear,1
North America,United States,Accessory-Neckwear-Womenswear,1
North America,United States,Aerophone-Automatic,1
North America,United States,Aerophone-Blow Hole-nose flute,1
North America,United States,Aerophone-Reed Vibrated-single reed conical,1
North America,United States,Aerophone-Whistle Flute-recorder,1
North America,United States,Barkcloth,1
North America,United States,Basketry-Implements,1
North America,United States,Beads-Sculpture|Hide-Costumes,1
North America,United States,Beads|Stone-Implements,1
North America,United States,Bone,1
North America,United States,Bone/Ivory-Containers,1
North America,United States,Calligraphy,1
North America,United States,Carpet,1
North America,United States,Ceramics,1
North America,United States,Ceramics-Implements,1
North America,United States,Ceramics-Ornaments,1
North America,United States,Chess Sets,1
North America,United States,Chordophone and Aerophone-struck piano/ free reed keyboard,1
North America,United States,Chordophone-Accessories-stool,1
North America,United States,Chordophone-Lute-bowed,1
North America,United States,Chordophone-Zither,1
North America,United States,Chordophone-Zither-struck-clavichord,1
North America,United States,Codices,1
North America,United States,Electrophone,1
North America,United States,Feathers-Containers,1
North America,United States,Feathers-Containers|Basketry-Containers,1
North America,United States,Feathers-Costumes|Accessory-Headwear-Menswear,1
North America,United States,Hide-Costumes|Beads-Costumes,1
North America,United States,Idiophone-Shaken-jingle,1
North America,United States,Idiophone-Struck,1
North America,United States,Idiophone-Struck-bar-glass,1
North America,United States,Idiophone-Struck-bar-metal,1
North America,United States,Idiophone-Struck-bar-wood,1
North America,United States,Idiophone-Struck-bell-clapper,1
North America,United States,Idiophone-Struck-vessel,1
North America,United States,Lithographic Stone,1
North America,United States,Membranophone-Accessories,1
North America,United States,Membranophone-double-headed / barrel drum,1
North America,United States,Metal-Implements,1
North America,United States,Metal-Implements|Hide-Costumes,1
North America,United States,Metal-Ornaments|Hide-Costumes,1
North America,United States,"Models - Actions, valve system, etc",1
North America,United States,Mosaic,1
North America,United States,Paper,1
North America,United States,Paper-Photographs,1
North America,United States,Photographs,1
North America,United States,Prints,1
North America,United States,Stone-Containers,1
North America,United States,Textiles,1
North America,United States,Textiles-Costumes|Textiles-Beadwork,1
North America,United States,Textiles-Implements,1
North America,United States,Textiles-Woven|Textiles-Costumes,1
North America,United States,Wood-Architectural,1
North America,United States,Wood-Musical Instruments,1
Sub-Saharan Africa,Nigeria,Wood-Sculpture,231
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Sculpture,112
Sub-Saharan Africa,Democratic Republic of the Congo,Textiles-Woven,106
Sub-Saharan Africa,Nigeria,Metal-Sculpture,90
Sub-Saharan Africa,Nigeria,Metal-Ornaments,49
Sub-Saharan Africa,Nigeria,Textiles-Woven,42
Sub-Saharan Africa,Ghana,Metal-Implements,40
Sub-Saharan Africa,Democratic Republic of the Congo,Beads-Costumes,27
Sub-Saharan Africa,Democratic Republic of the Congo,Metal-Implements,26
Sub-Saharan Africa,Democratic Republic of the Congo,Bone/Ivory-Sculpture,19
Sub-Saharan Africa,Democratic Republic of the Congo,Textiles-Costumes,17
Sub-Saharan Africa,Nigeria,Bone/Ivory-Sculpture,17
Sub-Saharan Africa,Democratic Republic of the Congo,Barkcloth,15
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Containers,15
Sub-Saharan Africa,Ghana,Textiles,15
Sub-Saharan Africa,Ghana,Metal-Containers,14
Sub-Saharan Africa,Nigeria,Metal-Containers,14
Sub-Saharan Africa,Nigeria,Metal-Musical Instruments,14
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Furniture,13
Sub-Saharan Africa,Democratic Republic of the Congo,Textiles,12
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Musical Instruments,12
Sub-Saharan Africa,Nigeria,Textiles,12
Sub-Saharan Africa,Ghana,Ceramics-Sculpture,11
Sub-Saharan Africa,Ghana,Textiles-Woven,11
Sub-Saharan Africa,Ghana,Wood-Sculpture,11
Sub-Saharan Africa,Nigeria,Bone/Ivory-Ornaments,11
Sub-Saharan Africa,Nigeria,Metal-Implements,11
Sub-Saharan Africa,Nigeria,Textiles-Beadwork,11
Sub-Saharan Africa,Nigeria,Wood-Containers,11
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Implements,10
Sub-Saharan Africa,Nigeria,Bone/Ivory-Musical Instruments,9
Sub-Saharan Africa,Democratic Republic of the Congo,Textiles-Beadwork,8
Sub-Saharan Africa,Nigeria,Ceramics-Sculpture,8
Sub-Saharan Africa,Ghana,Metal-Ornaments,7
Sub-Saharan Africa,Ghana,Wood-Implements,7
Sub-Saharan Africa,Nigeria,Beads-Costumes,7
Sub-Saharan Africa,Nigeria,Bone/Ivory-Containers,7
Sub-Saharan Africa,Nigeria,Sculpture,7
Sub-Saharan Africa,Nigeria,Wood-Architectural,7
Sub-Saharan Africa,Democratic Republic of the Congo,Aerophone-Whistle Flute-whistle,6
Sub-Saharan Africa,Democratic Republic of the Congo,Bone/Ivory-Ornaments,6
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-single-headed / conical drum,6
Sub-Saharan Africa,Ghana,Wood-Furniture,6
Sub-Saharan Africa,Nigeria,Textiles-Costumes,6
Sub-Saharan Africa,Nigeria,Time-based Media,6
Sub-Saharan Africa,Nigeria,Wood-Implements,6
Sub-Saharan Africa,Nigeria,Wood-Musical Instruments,6
Sub-Saharan Africa,Democratic Republic of the Congo,Basketry-Sculpture,5
Sub-Saharan Africa,Democratic Republic of the Congo,Ceramics-Containers,5
Sub-Saharan Africa,Democratic Republic of the Congo,Idiophone-Struck-bell-clapper,5
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-single-headed / vase-shaped drum,5
Sub-Saharan Africa,Nigeria,Wood-Furniture,5
Sub-Saharan Africa,Democratic Republic of the Congo,Chordophone-Harp,4
Sub-Saharan Africa,Democratic Republic of the Congo,Idiophone-Shaken-rattle,4
Sub-Saharan Africa,Democratic Republic of the Congo,Idiophone-Struck-slit drum,4
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-single-headed / cylindrical drum,4
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Ornaments,4
Sub-Saharan Africa,Nigeria,Ceramics-Containers,4
Sub-Saharan Africa,Nigeria,Ceramics-Vessels,4
Sub-Saharan Africa,Nigeria,Paper-Photographs,4
Sub-Saharan Africa,Democratic Republic of the Congo,Aerophone-Lip Vibrated-trumpet / trombone,3
Sub-Saharan Africa,Democratic Republic of the Congo,Basketry-Containers,3
Sub-Saharan Africa,Democratic Republic of the Congo,Basketry-Costumes,3
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-single-headed / goblet drum,3
Sub-Saharan Africa,Ghana,Ceramics-Containers,3
Sub-Saharan Africa,Ghana,Membranophone-single-headed / biconical drum,3
Sub-Saharan Africa,Nigeria,Aerophone-Lip Vibrated-horn,3
Sub-Saharan Africa,Nigeria,Idiophone-Struck-bell,3
Sub-Saharan Africa,Nigeria,Membranophone-single-headed / cylindrical drum,3
Sub-Saharan Africa,Nigeria,Photograph,3
Sub-Saharan Africa,Democratic Republic of the Congo,Aerophone-Lip Vibrated-horn,2
Sub-Saharan Africa,Democratic Republic of the Congo,Bone/Ivory-Implements,2
Sub-Saharan Africa,Democratic Republic of the Congo,Idiophone-Plucked / Depressed,2
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-double-headed / waisted drum,2
Sub-Saharan Africa,Democratic Republic of the Congo,Wood,2
Sub-Saharan Africa,Ghana,Beads-Costumes,2
Sub-Saharan Africa,Ghana,Hide-Costumes,2
Sub-Saharan Africa,Ghana,Metal-Musical Instruments,2
Sub-Saharan Africa,Ghana,Metal-Sculpture,2
Sub-Saharan Africa,Ghana,Photographs,2
Sub-Saharan Africa,Ghana,Wood-Musical Instruments|Membranophone-single-headed / biconical drum,2
Sub-Saharan Africa,Nigeria,Aerophone-Lip Vibrated-trumpet / trombone,2
Sub-Saharan Africa,Nigeria,Basketry-Sculpture,2
Sub-Saharan Africa,Nigeria,Bone/Ivory-Implements,2
Sub-Saharan Africa,Nigeria,Gourd-Sculpture,2
Sub-Saharan Africa,Nigeria,Idiophone-Plucked / Depressed,2
Sub-Saharan Africa,Nigeria,Idiophone-Shaken-crotal bell,2
Sub-Saharan Africa,Nigeria,Idiophone-Shaken-rattle,2
Sub-Saharan Africa,Nigeria,Idiophone-Struck,2
Sub-Saharan Africa,Nigeria,Idiophone-Struck-bell-without clapper,2
Sub-Saharan Africa,Nigeria,Membranophone-double-headed / waisted drum,2
Sub-Saharan Africa,Nigeria,Membranophone-single-headed / frame drum,2
Sub-Saharan Africa,Nigeria,Photographs,2
Sub-Saharan Africa,Nigeria,Stone-Sculpture,2
Sub-Saharan Africa,Nigeria,Wood-Costumes,2
Sub-Saharan Africa,Democratic Republic of the Congo,Aerophone-Whistle Flute,1
Sub-Saharan Africa,Democratic Republic of the Congo,Bone/Ivory-Containers,1
Sub-Saharan Africa,Democratic Republic of the Congo,Bone/Ivory-Sculpture|Bone/Ivory-Containers,1
Sub-Saharan Africa,Democratic Republic of the Congo,Ceramics-Sculpture,1
Sub-Saharan Africa,Democratic Republic of the Congo,Feathers-Costumes,1
Sub-Saharan Africa,Democratic Republic of the Congo,Gourd-Containers,1
Sub-Saharan Africa,Democratic Republic of the Congo,Idiophone-Struck-bar-wood,1
Sub-Saharan Africa,Democratic Republic of the Congo,Idiophone-Struck-bell,1
Sub-Saharan Africa,Democratic Republic of the Congo,Idiophone-Struck-bell-without clapper,1
Sub-Saharan Africa,Democratic Republic of the Congo,Ivory/Bone-Implements|Ivory,1
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-double-headed / cylindro-conical,1
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-single-headed / barrel drum,1
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-single-headed / cylindro-conical,1
Sub-Saharan Africa,Democratic Republic of the Congo,Membranophone-single-headed / waisted drum,1
Sub-Saharan Africa,Democratic Republic of the Congo,Metal-Ornaments,1
Sub-Saharan Africa,Democratic Republic of the Congo,Metal-Sculpture,1
Sub-Saharan Africa,Democratic Republic of the Congo,Sculpture,1
Sub-Saharan Africa,Democratic Republic of the Congo,Textiles-Ornaments,1
Sub-Saharan Africa,Democratic Republic of the Congo,Textiles-Woven-Brocade,1
Sub-Saharan Africa,Democratic Republic of the Congo,Vessels,1
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Costumes,1
Sub-Saharan Africa,Democratic Republic of the Congo,Wood-Vessels,1
Sub-Saharan Africa,Ghana,Aerophone-Lip Vibrated-trumpet / trombone,1
Sub-Saharan Africa,Ghana,Ceramics-Implements,1
Sub-Saharan Africa,Ghana,Idiophone-Plucked / Depressed,1
Sub-Saharan Africa,Ghana,Idiophone-Shaken-rattle,1
Sub-Saharan Africa,Ghana,Idiophone-Struck-bell-without clapper,1
Sub-Saharan Africa,Ghana,Membranophone-single-headed / goblet drum,1
Sub-Saharan Africa,Ghana,Membranophone-single-headed / kettle drum,1
Sub-Saharan Africa,Ghana,Paper-Photographs,1
Sub-Saharan Africa,Ghana,Sculpture,1
Sub-Saharan Africa,Ghana,Shell-Implements,1
Sub-Saharan Africa,Ghana,Textiles-Costumes,1
Sub-Saharan Africa,Nigeria,Aerophone-Reed Vibrated-double reed,1
Sub-Saharan Africa,Nigeria,Beads-Sculpture,1
Sub-Saharan Africa,Nigeria,Chordophone-Musical Bow,1
Sub-Saharan Africa,Nigeria,Gourd-Containers,1
Sub-Saharan Africa,Nigeria,Idiophone-Scraped,1
Sub-Saharan Africa,Nigeria,Implements,1
Sub-Saharan Africa,Nigeria,Main dress-Menswear,1
Sub-Saharan Africa,Nigeria,Membranophone-double-headed / conical drum,1
Sub-Saharan Africa,Nigeria,Miscellaneous,1
Sub-Saharan Africa,Nigeria,Textiles-Costumes-Accessories,1
Sub-Saharan Africa,Nigeria,Textiles-Costumes|Textiles-Dyed and Embroidered,1
Sub-Saharan Africa,Nigeria,Textiles-Sculpture,1
Sub-Saharan Africa,Nigeria,Wood,1
Sub-Saharan Africa,Nigeria,Wood-Ornaments,1
Sub-Saharan Africa,Nigeria,Wood-Sculpture|Stone-Furniture,1
Unknown,Belgium,Print,1045
Unknown,Scottish,Print,959
Unknown,Byzantium,Bound Volume,857
Unknown,Byzantine Egypt,Ceramics,842
Unknown,Mughal India,Painting,722
Unknown,Flanders,Bound Volume,562
Unknown,Swiss,Print,425
Unknown,Czech,Print,403
Unknown,Belgium,Drawing,366
Unknown,Mughal India,Manuscript,363
Unknown,Papua New Guinea,Bark-Paintings,337
Unknown,Scottish,Drawing,319
Unknown,Indonesia,Textiles-Woven,315
Unknown,Indonesia,Wood-Implements,291
Unknown,Iraq,Ceramics,278
Unknown,Norwegian,Print,278
Unknown,Russian,Print,252
Unknown,Russia,Print,245
Unknown,Austrian,Print,239
Unknown,Colombia,Metal-Ornaments,227
Unknown,Russian,Portfolio,219
Unknown,Indonesia,Wood-Sculpture,207
Unknown,Swiss,Drawing,207
Unknown,Belgium,Lace,197
Unknown,Byzantine Egypt,Papyrus,196
Unknown,Bohemian,Print,191
Unknown,Papua New Guinea,Wood-Sculpture,191
Unknown,[],Print,189
Unknown,Russia,Photograph,175
Unknown,Sri Lanka,Manuscript,173
Unknown,Turkey,Textiles-Embroidered,169
Unknown,Byzantine Egypt,Glass-Vessels,162
Unknown,Greece,Coins,162
Unknown,Czech,Drawing,159
Unknown,Turkey,Textiles-Rugs,155
Unknown,Flanders,Print,153
Unknown,Mali,Wood-Sculpture,143
Unknown,Africa,Sculpture,116
Unknown,Saudi Arabia,Ceramics,114
Unknown,Austrian,Drawing,113
Unknown,Belgian,Print,111
Unknown,Northwestern India,Painting,100
Unknown,Byzantine Egypt,Textiles-Woven,98
Unknown,Polish,Print,98
Unknown,Turkey,Ceramics,98
Unknown,Greece,Sculpture,92
Unknown,Russia,Miscellaneous,92
Unknown,Austria,Print,90
Unknown,Switzerland,Print,86
Unknown,Panama,Metal-Ornaments,84
Unknown,Swiss,Portfolio,84
Unknown,Turkey,Textiles-Woven,84
Unknown,Belgium,Time-based Media,81
Unknown,Indonesia,Wood-Musical Instruments,81
Unknown,Ireland,Photograph,78
Unknown,Morocco,Jewelry,73
Unknown,Cameroon,Wood-Sculpture,72
Unknown,Papua New Guinea,Wood-Implements,72
Unknown,Indonesia,Wood-Containers,70
Unknown,Greece,Ceramic,69
Unknown,Czech,Portfolio,68
Unknown,Turkey,Textiles,67
Unknown,Austrian,Portfolio,65
Unknown,Swedish,Print,65
Unknown,Byzantium,Coins,64
Unknown,Africa,Mask,63
Unknown,Belgium,Painting,63
Unknown,Belgium,Sculpture,62
Unknown,Burkina Faso,Wood-Sculpture,62
Unknown,Greece,Embroidery,61
Unknown,Turkey,Embroidery,60
Unknown,Iraq,Glass,59
Unknown,Bohemia,Print,58
Unknown,Flanders,Drawing,58
Unknown,Sweden,Print,58
Unknown,North Italy,Arms and Armor,57
Unknown,Hungary,Jewelry,56
Unknown,Byzantine Egypt,Glass,55
Unknown,Byzantine Egypt,Miscellaneous-Stone,54
Unknown,Danish,Portfolio,54
Unknown,Morocco,Textiles-Embroidered,54
Unknown,Colombia,Ceramic,53
Unknown,Hungary,Print,53
Unknown,Welsh,Print,53
Unknown,Argentina,Photograph,51
Unknown,[],Photograph,51
Unknown,California,Basketry,50
Unknown,Indonesia,Textiles,50
Unknown,Mali,Metal-Ornaments,50
Unknown,Africa,Arms and Armor,49
Unknown,Mesoamerica,Sculpture,49
Unknown,Russian,Photograph,49
Unknown,Philippines,Arms and Armor,48
Unknown,Brazil,Photograph,47
Unknown,Byzantine Egypt,Woodwork-Miscellany,47
Unknown,Liechtenstein,Portfolio,47
Unknown,Cambodia,Sculpture,46
Unknown,Turkey,Codices,45
Unknown,Flanders,Lace,44
Unknown,Indonesia,Textile,44
Unknown,Argentinean,Print,43
Unknown,Costa Rica,Aerophone-Whistle Flute-whistle,43
Unknown,Liechtenstein,Print,42
Unknown,Africa,Garment,41
Unknown,Guatemala,Stone-Implements,41
Unknown,Turkey,Main dress-Womenswear,41
Unknown,Belgium,Photograph,40
Unknown,Austria,Glass-Stained,39
Unknown,Byzantium,Metalwork,39
Unknown,Czechoslovakia,Print,39
Unknown,Africa,Jewelry,38
Unknown,Colombia,Jewelry,38
Unknown,Russian,Drawing,38
Unknown,Austria,Bound Volume,37
Unknown,Switzerland,Photograph,37
Unknown,Turkey,Textiles-Laces,37
Unknown,Austria,Sculpture,36
Unknown,Ecuador,Ceramics-Sculpture,36
Unknown,Czech,Photograph,35
Unknown,Myanmar (Burma),Manuscript,35
Unknown,Northwest Coast,Basketry,35
Unknown,Scottish,Photograph,35
Unknown,Australia,Wood-Implements,34
Unknown,Turkey,Textile,34
Unknown,Africa,Embroidery,33
Unknown,Papua New Guinea,Wood-Musical Instruments,33
Unknown,Flanders,Painting,32
Unknown,Java,Arms and Armor,32
Unknown,Africa,Implements,31
Unknown,Russia,Idiophone-Struck-bell-clapper,31
Unknown,[],Bound Volume,31
Unknown,Czechoslovakia,Portfolio,30
Unknown,Indonesia,Textiles-Costumes,30
Unknown,Swiss,Sculpture,30
Unknown,Africa,Vessels,29
Unknown,Algeria,Jewelry,29
Unknown,Austria,Ceramic,29
Unknown,Central France,Sculpture,29
Unknown,Costa Rica,Metal-Ornaments,29
Unknown,Nepal,Sculpture,29
Unknown,Byzantine Egypt,Textiles-Costumes-Secular,28
Unknown,Papua New Guinea,Bone/Ivory-Implements,28
Unknown,Switzerland,Embroidery,28
Unknown,Austria,Enamel,27
Unknown,Flanders,Manuscript,27
Unknown,Guatemalan,Print,27
Unknown,Indonesia,Bone/Ivory-Implements,27
Unknown,Indonesia,Metal-Ornaments,27
Unknown,Irish,Print,27
Unknown,Mali,Photograph,27
Unknown,Nepal,Painting,27
Unknown,Venezuelan,Print,27
Unknown,Africa,Textile,26
Unknown,Austria,Miscellaneous,26
Unknown,Cameroon,Beads-Costumes,26
Unknown,Costa Rica,Ceramics-Implements,26
Unknown,Costa Rica,Stone-Ornaments|Jade,26
Unknown,Denmark,Wood,26
Unknown,Israeli,Print,26
Unknown,Liberia,Wood-Sculpture,26
Unknown,Austria,Drawing,25
Unknown,Belgian,Photograph,25
Unknown,Ecuador,Ceramics-Containers,25
Unknown,Europe,Tool,25
Unknown,Hungarian,Photograph,25
Unknown,Indonesia,Basketry-Sculpture,25
Unknown,Lebanon,Photograph,25
Unknown,Pakistan,Sculpture,25
Unknown,Panama,Metalwork,25
Unknown,Switzerland,Idiophone,25
Unknown,Turkey,Ceramics-Tiles,25
Unknown,Costa Rica,Stone-Implements,24
Unknown,Danish,Print,24
Unknown,Palestine,Metal,24
Unknown,Turkey,Metal,24
Unknown,Brazil,Print,23
Unknown,Central India,Painting,23
Unknown,Colombia,Metalwork,23
Unknown,Cyprus,Ceramic,23
Unknown,Israel,Print,23
Unknown,Malaysia,Textiles-Woven,23
Unknown,Norwegian,Portfolio,23
Unknown,Byzantium,Jewelry,22
Unknown,Chilean,Print,22
Unknown,Israeli,Photograph,22
Unknown,South India,Sculpture,22
Unknown,Belgium,Volume,21
Unknown,Byzantine Egypt,Miscellaneous,21
Unknown,Costa Rica,Stone-Ornaments,21
Unknown,Greece,Metalwork,21
Unknown,Russia,Lace,21
Unknown,Southwest,Ceramic,21
Unknown,Austrian,Photograph,20
Unknown,Austrian,Sculpture,20
Unknown,Cameroon,Ceramics-Implements,20
Unknown,Etruscan,Sculpture,20
Unknown,Indonesia,Feathers-Ornaments,20
Unknown,Mali,Metal-Sculpture,20
Unknown,Norwegian,Drawing,20
Unknown,Palestine,Main dress-Womenswear,20
Unknown,Papua New Guinea,Basketry-Sculpture,20
Unknown,Papua New Guinea,Drawings|Paper,20
Unknown,Philippines,Metal-Ornaments,20
Unknown,Philippines (?),Textiles-Woven,20
Unknown,Welsh,Drawing,20
Unknown,Byzantine Egypt,Ivories,19
Unknown,Colombia,Stone-Ornaments,19
Unknown,Czechoslovakia,Photograph,19
Unknown,Fiji,Wood-Implements,19
Unknown,Hungarian,Print,19
Unknown,Indonesia,Arms and Armor,19
Unknown,Indonesia,Basketry-Costumes,19
Unknown,Mali,Wood-Implements,19
Unknown,Palestine,Ivories and Bone,19
Unknown,Sweden,Textile,19
Unknown,[],Jewelry,19
Unknown,Afghanistan,Manuscript,18
Unknown,Australian,Print,18
Unknown,Austria,Photograph,18
Unknown,Cameroon,Textiles-Woven,18
Unknown,Indonesia,Metal-Implements,18
Unknown,Iraq,Wood,18
Unknown,Merovingian,Jewelry,18
Unknown,South Italian,Ceramic,18
Unknown,Belgian,Volume,17
Unknown,Bohemia,Glass,17
Unknown,Croatian,Print,17
Unknown,Etruscan,Jewelry,17
Unknown,Frankish,Jewelry,17
Unknown,Indonesia,Wood-Architectural,17
Unknown,Mali,Basketry-Ornaments|Jewelry,17
Unknown,Mali,Photographs,17
Unknown,Mesoamerica,Ceramic,17
Unknown,South Netherlands,Glass-Stained,17
Unknown,Swiss,Volume,17
Unknown,Switzerland,Drawing,17
Unknown,Burma,Jewelry,16
Unknown,Cameroon,Textiles-Beadwork,16
Unknown,Colombia,Aerophone-Whistle Flute-vessel flute,16
Unknown,Cuban,Photograph,16
Unknown,Hungary,Reproductions,16
Unknown,Malaysia,Wood-Sculpture,16
Unknown,Native North America,Ceramic,16
Unknown,Polish,Photograph,16
Unknown,South Africa,Textiles-Beadwork,16
Unknown,South African,Portfolio,16
Unknown,South Germany,Arms and Armor,16
Unknown,Austria,Arms and Armor,15
Unknown,Austria,Sculpture-Wood,15
Unknown,Austrian,Volume,15
Unknown,Azerbaijan,Textiles-Rugs,15
Unknown,Balkans,Jewelry,15
Unknown,Belgium,Metalwork,15
Unknown,Denmark,Silver,15
Unknown,Gabon,Wood-Sculpture,15
Unknown,Palestine,Ceramics,15
Unknown,Scottish,Painting,15
Unknown,Swiss,Photograph,15
Unknown,Tunisia,Main dress-Womenswear,15
Unknown,[],Painting,15
Unknown,Africa,Musical Instrument,14
Unknown,Austria,Painting,14
Unknown,Austria,Textile,14
Unknown,Byzantine Egypt,Sculpture-Stone,14
Unknown,Fiji,Barkcloth|Textiles,14
Unknown,Guatemala,Ceramics-Containers,14
Unknown,Indonesia,Beads-Ornaments,14
Unknown,Indonesia,Bone/Ivory-Sculpture,14
Unknown,Melanesia,Sculpture,14
Unknown,Nepal,Jewelry,14
Unknown,Northwest Iran,Textiles,14
Unknown,Siam,Ceramic,14
Unknown,Solomon Islands,Wood-Implements,14
Unknown,Vanuatu,Aerophone-Blow Hole-end-blown flute (vertical),14
Unknown,Yugoslavian,Portfolio,14
Unknown,Algeria,Textiles-Embroidered,13
Unknown,Anatolia,Sculpture,13
Unknown,Angola,Wood-Sculpture,13
Unknown,Australia,Bark-Paintings,13
Unknown,Burkina Faso,Metal-Ornaments,13
Unknown,Byzantine Egypt,Lapidary Work-Alabaster,13
Unknown,Central Andes,Textile,13
Unknown,Dominican Republic,Stone-Implements,13
Unknown,Guinea,Wood-Sculpture,13
Unknown,Java,Manuscript,13
Unknown,Nepalese (?),Print,13
Unknown,Papua New Guinea,Wood-Containers,13
Unknown,Philippines,Embroidery,13
Unknown,Polynesia,Sculpture,13
Unknown,Switzerland,Miscellaneous,13
Unknown,Ukraine,Enamels-Cloisonné,13
Unknown,Austria,Furniture and woodwork,12
Unknown,Belgian,Portfolio,12
Unknown,Central Africa,Sculpture,12
Unknown,Haitian,Painting,12
Unknown,Indonesia,Bone/Ivory-Ornaments,12
Unknown,Indonesia,Textiles-Beadwork,12
Unknown,Iraq,Codices,12
Unknown,Norwegian,Photograph,12
Unknown,Russia,Ceramic,12
Unknown,Russian,Volume,12
Unknown,South China,Ceramic,12
Unknown,Swiss,Painting,12
Unknown,Tibet,Aerophone-Lip Vibrated-trumpet / trombone,12
Unknown,Tibet,Sculpture,12
Unknown,Togo,Negatives|Glass,12
Unknown,Turkey,Textiles-Brocades,12
Unknown,Turkish,Portfolio,12
Unknown,Vanuatu,Wood-Sculpture,12
Unknown,Belgian,Painting,11
Unknown,Byzantine Egypt,Manuscripts and Illuminations,11
Unknown,Colombia,Stone-Implements,11
Unknown,Gabon,(not assigned),11
Unknown,Germany?,Aerophone-Lip Vibrated-horn,11
Unknown,Guatemala,Print,11
Unknown,Guatemalan,Portfolio,11
Unknown,Hungary,Drawing,11
Unknown,Irish,Photograph,11
Unknown,Lithuanian,Portfolio,11
Unknown,Mali,Wood-Architectural,11
Unknown,Norway,Print,11
Unknown,Papua New Guinea,Bark-Sculpture,11
Unknown,Papua New Guinea,Shell-Ornaments,11
Unknown,Poland,Photograph,11
Unknown,Russia,Aerophone-Lip Vibrated-horn,11
Unknown,Russia,Jewelry,11
Unknown,Russia,Silver,11
Unknown,Russian,Painting,11
Unknown,Solomon Islands,Shell-Ornaments,11
Unknown,Sweden,Glass,11
Unknown,Thailand,Idiophone-Struck-gong,11
Unknown,Turkey,Jewelry,11
Unknown,Turkey,Textiles-Costumes,11
Unknown,Turkey,Velvet,11
Unknown,Vanuatu,Wood-Implements,11
Unknown,Africa,Furniture and woodwork,10
Unknown,Algeria,Ceramics-Vessels,10
Unknown,Australian,Portfolio,10
Unknown,Austria,Chordophone-Zither-struck-piano,10
Unknown,Bolivia (?),Textiles-Costumes,10
Unknown,Brazil,Ceramics-Sculpture,10
Unknown,Bulgaria,Jewelry,10
Unknown,Bulgarian,Print,10
Unknown,Byzantine Egypt,Metalwork,10
Unknown,Byzantine Egypt,Metalwork-Iron,10
Unknown,Central Andes,Ceramic,10
Unknown,Central Mexico,Sculpture,10
Unknown,Central Mexico,Stone,10
Unknown,Colombia,Metal-Implements,10
Unknown,Greece,Jewelry,10
Unknown,Israeli,Drawing,10
Unknown,Mali,Ceramics-Containers,10
Unknown,Mali,Wood-Furniture,10
Unknown,Mesoamerica,Jade,10
Unknown,Nauru,Basketry-Ornaments,10
Unknown,Oceania,Textile,10
Unknown,Panama,Ceramics-Containers,10
Unknown,Romanian,Print,10
Unknown,Russian,Silver,10
Unknown,Solomon Islands,Wood-Sculpture,10
Unknown,[],Sculpture,10
Unknown,[],Textile,10
Unknown,Belgian,Drawing,9
Unknown,Belgium,Tapestry,9
Unknown,Byzantine Egypt,Bone,9
Unknown,Byzantine Egypt,Metalwork-Copper alloy,9
Unknown,Byzantium,Glyptic,9
Unknown,Cameroon,Textiles-Costumes,9
Unknown,Ceylon,Drawing,9
Unknown,Colombia,Aerophone-Whistle Flute-recorder,9
Unknown,Colombia,Metal-Sculpture,9
Unknown,Continental,Miscellaneous,9
Unknown,Dalmatian,Sculpture,9
Unknown,Ecuador,Ceramics-Musical Instruments,9
Unknown,Guyana,Idiophone-Shaken-rattle,9
Unknown,Iceland,Metalwork,9
Unknown,Indonesia,Basketry-Containers,9
Unknown,Iran ?,Textile,9
Unknown,Lombardic,Sculpture,9
Unknown,Malaysia,Textiles,9
Unknown,Mali,Paper-Photographs,9
